Month,Hajj: (Worldwide)
2008-01,10
2008-02,7
2008-03,8
2008-04,8
2008-05,9
2008-06,10
2008-07,9
2008-08,9
2008-09,17
2008-10,17
2008-11,22
2008-12,24
2009-01,8
2009-02,7
2009-03,8
2009-04,9
2009-05,10
2009-06,10
2009-07,9
2009-08,13
2009-09,12
2009-10,25
2009-11,39
2009-12,12
2010-01,8
2010-02,8
2010-03,9
2010-04,9
2010-05,12
2010-06,11
2010-07,10
2010-08,14
2010-09,18
2010-10,25
2010-11,40
2010-12,9
2011-01,9
2011-02,8
2011-03,9
2011-04,10
2011-05,13
2011-06,11
2011-07,10
2011-08,13
2011-09,24
2011-10,32
2011-11,36
2011-12,10
2012-01,10
2012-02,11
2012-03,11
2012-04,13
2012-05,15
2012-06,13
2012-07,13
2012-08,16
2012-09,30
2012-10,60
2012-11,18
2012-12,9
2013-01,10
2013-02,11
2013-03,12
2013-04,13
2013-05,12
2013-06,12
2013-07,13
2013-08,16
2013-09,24
2013-10,44
2013-11,10
2013-12,9
2014-01,9
2014-02,12
2014-03,13
2014-04,17
2014-05,18
2014-06,11
2014-07,12
2014-08,24
2014-09,37
2014-10,40
2014-11,11
2014-12,9
2015-01,11
2015-02,12
2015-03,15
2015-04,18
2015-05,24
2015-06,13
2015-07,15
2015-08,30
2015-09,100
2015-10,20
2015-11,10
2015-12,10
2016-01,13
2016-02,13
2016-03,16
2016-04,21
2016-05,23
2016-06,15
2016-07,22
2016-08,36
2016-09,58
2016-10,12
2016-11,10
2016-12,10
2017-01,15
2017-02,15
2017-03,18
2017-04,24
2017-05,17
2017-06,16
2017-07,36
2017-08,63
2017-09,23
2017-10,11
2017-11,12
2017-12,12
2018-01,18
